build_y,offi_nm,size,year,month,day,dong,bo_price,mo_price,ji_code,floor
2016,지웰에스테이트 오피스텔,28.52,2019,8,7, 복대동,300,42,43113,3
2017,대농지구 롯데캐슬시티,33.45,2019,8,10, 복대동,500,50,43113,4
2017,대농지구 롯데캐슬시티,50.53,2019,8,10, 복대동,"18,000",0,43113,12
2016,지웰에스테이트 오피스텔,30.33,2019,8,12, 복대동,"11,000",0,43113,6
2017,대농지구 롯데캐슬시티,50.53,2019,8,15, 복대동,"17,500",0,43113,4
2016,지웰에스테이트 오피스텔,30.33,2019,8,15, 복대동,"11,000",0,43113,2
2017,대농지구 롯데캐슬시티,33.45,2019,8,15, 복대동,"11,500",0,43113,9
2016,지웰에스테이트 오피스텔,32.91,2019,8,15, 복대동,500,50,43113,12
2017,대농지구 롯데캐슬시티,33.45,2019,8,16, 복대동,"10,000",0,43113,3
2017,대농지구 롯데캐슬시티,48.35,2019,8,20, 복대동,"16,000",0,43113,8
2017,대농지구 롯데캐슬시티,33.45,2019,8,24, 복대동,"11,000",0,43113,7
2017,대농지구 롯데캐슬시티,33.45,2019,8,27, 복대동,"11,500",0,43113,5
2017,대농지구 롯데캐슬시티,44.96,2019,8,28, 복대동,"3,000",60,43113,13
2017,대농지구 롯데캐슬시티,44.09,2019,9,4, 복대동,"17,000",0,43113,15
2017,대농지구 롯데캐슬시티,28.47,2019,9,6, 복대동,"10,500",0,43113,15
2016,지웰에스테이트 오피스텔,25.23,2019,9,7, 복대동,"9,370",0,43113,12
2017,대농지구 롯데캐슬시티,28.47,2019,9,7, 복대동,"11,000",0,43113,11
2016,지웰에스테이트 오피스텔,32.91,2019,9,8, 복대동,500,44,43113,8
2017,대농지구 롯데캐슬시티,40.84,2019,9,11, 복대동,"15,000",0,43113,10
2017,대농지구 롯데캐슬시티,33.45,2019,9,11, 복대동,"13,000",0,43113,4
2017,대농지구 롯데캐슬시티,53,2019,9,15, 복대동,"18,000",0,43113,4
2016,지웰에스테이트 오피스텔,30.33,2019,9,16, 복대동,"11,000",0,43113,10
2017,대농지구 롯데캐슬시티,44.96,2019,9,17, 복대동,500,70,43113,6
2017,대농지구 롯데캐슬시티,48.35,2019,9,18, 복대동,"17,500",0,43113,8
2017,대농지구 롯데캐슬시티,28.47,2019,9,22, 복대동,"11,000",0,43113,5
2017,대농지구 롯데캐슬시티,44.96,2019,9,23, 복대동,"17,000",0,43113,13
2016,지웰에스테이트 오피스텔,30.33,2019,9,23, 복대동,"7,500",10,43113,2
2017,대농지구 롯데캐슬시티,28.47,2019,9,24, 복대동,"11,000",0,43113,14
2016,지웰에스테이트 오피스텔,32.06,2019,9,26, 복대동,"8,900",0,43113,15
2016,지웰에스테이트 오피스텔,30.33,2019,9,27, 복대동,"10,800",0,43113,4
2017,대농지구 롯데캐슬시티,48.35,2019,9,28, 복대동,"17,000",0,43113,9
2016,지웰에스테이트 오피스텔,27,2019,9,29, 복대동,"7,000",0,43113,14
2016,지웰에스테이트 오피스텔,28.52,2019,9,30, 복대동,"9,500",0,43113,7
2016,지웰에스테이트 오피스텔,29.24,2019,10,2, 복대동,"9,450",0,43113,5
2017,대농지구 롯데캐슬시티,33.45,2019,10,3, 복대동,"13,000",0,43113,3
