시군구,번지,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,201912,9,"17,000",0,5,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,28.47,201912,10,"10,500",0,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,28.47,201912,14,"3,000",30,12,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,201912,14,400,45,4,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,44.96,201912,18,"16,500",0,8,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,201912,18,"11,000",0,6,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,201912,19,"3,000",35,10,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,28.47,201912,21,"11,000",0,8,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,37.16,201912,26,500,65,5,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,44.96,201912,30,"16,000",0,9,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,37.16,202001,2,"3,000",40,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,202001,3,"1,500",30,12,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,202001,4,"3,000",32,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,50.53,202001,5,500,70,3,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,202001,6,500,45,14,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,44.96,202001,6,"1,000",65,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,40.84,202001,7,"16,000",0,3,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,44.96,202001,8,"16,000",0,9,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,44.96,202001,8,"17,500",0,5,2017,진재로 141
